Rank,Run_ID,Passed_Constraints,Total_Constraints,Warnings,Unassigned,Hour_Difference,Discrimination_Score,WD_Morn,WD_Aftn,SatMornPers,SunMPPers,WeekHrs,MonthNightLim,Month_Wknd,ForbShifts,Festivity,caio_M,caio_P,caio_N,caio_WKND,caio_totH,caio_avgH,genoveffa_M,genoveffa_P,genoveffa_N,genoveffa_WKND,genoveffa_totH,genoveffa_avgH,pallo_M,pallo_P,pallo_N,pallo_WKND,pallo_totH,pallo_avgH,pinco_M,pinco_P,pinco_N,pinco_WKND,pinco_totH,pinco_avgH,sempronio_M,sempronio_P,sempronio_N,sempronio_WKND,sempronio_totH,sempronio_avgH,tizio_M,tizio_P,tizio_N,tizio_WKND,tizio_totH,tizio_avgH
62,54,6,9,1,1,36,12.0,*,,,,*,*,,,,14,4,1,2,144,33.3,13,5,0,1,120,27.7,9,1,0,2,138,31.9,10,3,1,0,132,30.5,14,4,2,2,156,36.0,14,2,1,1,156,36.0
63,63,6,9,1,1,36,12.0,*,,,,*,*,,,,15,4,0,2,138,31.9,11,5,2,0,120,27.7,9,1,1,2,150,34.6,10,2,1,0,126,29.1,15,3,0,2,156,36.0,13,4,1,2,150,34.6
64,80,6,9,1,1,36,13.0,*,,,,*,*,,,,14,4,1,2,144,33.3,14,4,0,0,120,27.7,9,1,0,2,150,34.6,9,3,1,0,126,29.1,12,4,3,2,156,36.0,15,3,0,2,144,33.3
65,30,6,9,1,1,36,14.0,*,,,,*,*,,,,14,5,0,2,138,31.9,11,1,3,2,156,36.0,9,2,0,1,126,29.1,10,3,0,0,120,27.7,14,4,2,2,156,36.0,14,4,0,1,132,30.5
66,1,6,9,1,1,42,10.0,*,,,,*,*,,,,15,3,0,2,156,36.0,14,4,0,2,132,30.5,8,3,2,2,156,36.0,10,2,1,0,126,29.1,13,4,1,0,114,26.3,14,3,1,2,150,34.6
67,60,6,9,1,1,42,10.0,*,,,,*,*,,,,15,3,1,2,144,33.3,14,2,2,1,144,33.3,9,2,0,2,150,34.6,9,4,0,0,108,24.9,15,4,0,2,150,34.6,13,4,2,1,150,34.6
68,71,6,9,1,1,42,11.0,*,,,,*,*,,,,14,5,0,0,114,26.3,14,2,1,2,156,36.0,9,2,0,1,126,29.1,11,2,0,1,132,30.5,12,4,2,2,156,36.0,13,4,2,2,150,34.6
69,16,6,9,1,1,42,12.0,*,,,,*,*,,,,14,2,2,2,156,36.0,12,5,1,0,114,26.3,8,1,1,2,156,36.0,10,3,1,0,120,27.7,14,4,0,2,156,36.0,14,4,0,2,132,30.5
70,21,6,9,1,1,42,12.0,*,,,,*,*,,,,14,2,2,1,156,36.0,13,4,1,0,114,26.3,9,1,0,2,150,34.6,9,3,1,1,138,31.9,14,4,1,2,144,33.3,13,5,0,2,132,30.5
71,52,6,9,1,1,42,12.0,*,,,,*,*,,,,14,5,0,2,138,31.9,13,3,2,2,156,36.0,9,1,0,1,138,31.9,10,4,0,0,114,26.3,14,4,2,2,156,36.0,15,2,1,1,150,34.6
72,69,6,9,1,1,42,12.0,*,,,,*,*,,,,12,5,1,0,114,26.3,14,4,0,2,144,33.3,8,1,2,2,156,36.0,9,2,2,0,132,30.5,16,3,0,2,150,34.6,14,4,0,2,144,33.3
73,12,6,9,1,1,42,14.0,*,,,,*,*,,,,14,2,1,2,156,36.0,12,4,3,1,156,36.0,9,1,0,2,138,31.9,9,3,1,0,114,26.3,15,4,0,2,150,34.6,13,5,0,1,120,27.7
